Disease,Country,ResultName,ResultLink,Address,Latitude,Longitude,Contact,Description,Local,LocalLink
Alexander disease,Belgium,Multidisciplinair expertenteam/Centrum Zeldzame Ziekten - Universitair Ziekenhuis Antwerpen,https://www.orpha.net/en/expert-centres/centre/526209?name=Alexander%20disease&consulting=medical&age=all&official=0,"Drie Eikenstraat 655, 2650 EDEGEM (ANTWERPEN), BELGIUM",51.1549925,4.4117088,Phone 1: + 32 (0)3 821 97 66 [coordinator rare diseases] <br>Phone 2: + 32 (0)3 275 97 74 <br>Fax: +32 (0)3 275 97 23 <br>Contact email: zeldzameziekten@uza.be <br>https://www.uza.be/over-zeldzame-ziekten,"Description: https://www.uza.be/over-zeldzame-ziekten <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling Member of a ERN",Antwerp University Hospital - UZA,https://www.google.com/maps/search/Drie+Eikenstraat+655+EDEGEM+%28ANTWERPEN%29+ANTWERPEN
Alexander disease,Belgium,Equipe dexperts multidisciplinaire/Centre pour les maladies rares - Cliniques Universitaires Saint-Luc,https://www.orpha.net/en/expert-centres/centre/526966?name=Alexander%20disease&consulting=medical&age=all&official=0,"Avenue Hippocrate, 10, 1200 BRUSSELS, BELGIUM",50.851809,4.453697299931784,Phone 1: +32 (0)2 764 78 00 <br>Contact email: maladies.rares@saintluc.uclouvain.be <br>http://www.institutdesmaladiesrares.be/,"Description: http://www.institutdesmaladiesrares.be/ <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling Member of a ERN",Cliniques universitaires Saint-Luc - UCLouvain,https://www.google.com/maps/search/Avenue+Hippocrate%2C+10+BRUSSELS+ARRONDISSEMENT+BRUSSELS-CAPITAL
Alexander disease,Belgium,Equipe dexperts multidisciplinaire/Centre pour les maladies rares - HUB,https://www.orpha.net/en/expert-centres/centre/526970?name=Alexander%20disease&consulting=medical&age=all&official=0,"Route de Lennik 808, 1070 ANDERLECHT, BELGIUM",50.8138125,4.264934878720768,Phone 1: communication@hubruxelles.be <br>Contact email: communication@hubruxelles.be <br>https://www.hubruxelles.be/,"Description: https://www.erasme.be/fr/problematiques-de-sante/maladies-rares https://www.erasme.be/fr/problematiques-de-sante/maladies-rares <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling Member of a ERN",Hôpital Universitaire de Bruxelles (H.U.B),https://www.google.com/maps/search/Route+de+Lennik+808+ANDERLECHT+ARRONDISSEMENT+BRUSSELS-CAPITAL
Alexander disease,Belgium,Multidisciplinair expertenteam/Centrum voor Zeldzame Ziekten - Universitair Ziekenhuis Brussel,https://www.orpha.net/en/expert-centres/centre/525971?name=Alexander%20disease&consulting=medical&age=all&official=0,"Laarbeeklaan 101, 1090 BRUSSELS, BELGIUM",50.8861241,4.3094423,Phone 1: +32 (0)2 801 27 01 <br>Contact email: zeldzameziekten@uzbrussel.be <br>https://www.uzbrussel.be/web/centrum-voor-zeldzame-ziekten/expertise,"Description: https://www.uzbrussel.be/web/centrum-voor-zeldzame-ziekten/expertise <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling Member of a ERN",Universitair Ziekenhuis Brussel,https://www.google.com/maps/search/Laarbeeklaan+101+BRUSSELS+ARRONDISSEMENT+BRUSSELS-CAPITAL
Alexander disease,Belgium,Equipe dexperts multidisciplinaire/Centre pour les maladies rares - Grand Hôpital de Charleroi et Institut de Pathologie et de Génétique,https://www.orpha.net/en/expert-centres/centre/596492?name=Alexander%20disease&consulting=medical&age=all&official=0,"Rue Marguerite Depasse, 6, 6060 GILLY, BELGIUM",50.4180931,4.4820071,Phone 1: +32 (0)71 911 250 <br>Contact email: camille.rouyer@ipg.be <br>https://www.ghdc.be/fonction-maladies-rares,"Description: https://www.ghdc.be/fonction-maladies-rares <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling Member of a ERN",Grand Hôpital de Charleroi - Site Saint-Joseph,https://www.google.com/maps/search/Rue+Marguerite+Depasse%2C+6+GILLY+HAINAUT
Alexander disease,Belgium,Equipe dexperts multidisciplinaire/Centre pour les maladies rares - CHU Liège,https://www.orpha.net/en/expert-centres/centre/526969?name=Alexander%20disease&consulting=medical&age=all&official=0,"Avenue de l'hôpital, 1, 4000 LIEGE, BELGIUM",50.5729745,5.56939883871619,Phone 1: +32 (0)4 284 36 40 <br>Fax: +32 (0)4 242 54 46 <br>Contact email: maladierare@chuliege.be <br>https://www.chuliege.be/jcms/c2_17345666/en/accueil/centre-des-maladies-rares,"Description: https://www.chuliege.be/jcms/c2_17345666/en/accueil/centre-des-maladies-rares <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling Member of a ERN",CHU de Liège - Domaine universitaire du Sart Tilman,https://www.google.com/maps/search/Avenue+de+l%27h%C3%B4pital%2C+1+LIEGE+LIEGE
Alexander disease,Belgium,Multidisciplinair expertenteam/Centrum voor Zeldzame Ziekten - Universitair Ziekenhuis Gent,https://www.orpha.net/en/expert-centres/centre/526202?name=Alexander%20disease&consulting=medical&age=all&official=0,"Corneel Heymanslaan 10, 9000 GENT, BELGIUM",51.02353555,3.7266310296153846,Phone 1: +32 (0)9 332 98 09 <br>Contact email: zeldzame.ziekten@uzgent.be <br>https://www.uzgent.be/patient/zoek-een-arts-of-dienst/zeldzame-aandoeningen,"Description: https://www.uzgent.be/patient/zoek-een-arts-of-dienst/zeldzame-aandoeningen <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling Member of a ERN",Universitair ziekenhuis Gent (UZ Gent),https://www.google.com/maps/search/Corneel+Heymanslaan+10+GENT+OOST-VLAANDEREN
Alexander disease,Belgium,Multidisciplinair expertenteam/Centrum Zeldzame Ziekten - Universitair Ziekenhuis Leuven,https://www.orpha.net/en/expert-centres/centre/526195?name=Alexander%20disease&consulting=medical&age=all&official=0,"Herestraat 49, 3000 LEUVEN, BELGIUM",50.87718495,4.671450912076818,Phone 1: +32 (0)16 34 57 42 <br>Phone 2: +32 (0)16 34 66 15 <br>Contact email: zeldzameziekten@uzleuven.be <br>https://www.uzleuven.be/nl/zeldzame-ziekten,"Description: https://www.uzleuven.be/netwerken-rond-zeldzame-ziekten https://www.uzleuven.be/netwerken-rond-zeldzame-ziekten <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling Member of a ERN",UZ Leuven - Campus Gasthuisberg,https://www.google.com/maps/search/Herestraat+49+LEUVEN+VLAAMS+BRABANT
Alexander disease,Canada,"Clinical Genetics, Credit Valley Site, Trillium Health Partners",https://www.orpha.net/en/expert-centres/centre/368279?name=Alexander%20disease&consulting=medical&age=all&official=0,"2200 Eglinton Ave West, L5M 2N1 MISSISSAUGA, CANADA",43.559441,-79.70371211203724,Phone 1: 1 (905) 813-4104 <br>Fax: 1 (905) 813-4347 <br>http://trilliumhealthpartners.ca/patientservices/genetics/Pages/default.aspx,"Description: http://trilliumhealthpartners.ca/patientservices/genetics/Pages/default.aspx <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling","Genetics Clinic, Credit Valley Hospital",https://www.google.com/maps/search/2200+Eglinton+Ave+West+MISSISSAUGA+Ontario
Alexander disease,Canada,Clinical and Metabolic Genetics Division,https://www.orpha.net/en/expert-centres/centre/438028?name=Alexander%20disease&consulting=medical&age=all&official=0,"555 University Avenue, M5G 2L3 TORONTO, CANADA",43.6570957,-79.3877344,Phone 1: 01 (416) 813-6390 <br>Fax: 01 (416) 813-5345 <br>http://www.sickkids.ca/CGenetics/index.html,"Description: http://www.sickkids.ca/CGenetics/index.html <br>Age range: For adults and children <br>Type(s): Medical management , Genetic counselling",The Hospital for Sick Children and University of Toronto,https://www.google.com/maps/search/555+University+Avenue+TORONTO+Ontario
